;zdroj;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
snímaè;metráž;0;2;4;6;8;10;12;14;16;18;60;62;64;66;68;70;72;74;76;78;80;82;84
1;0;0;0;0;0;0;0;0;0;0;0;7.47;7.82;7.67;7.81;7.74;8.15;8.49;8.7;8.7;8.76;8.97;8.97;9.38
2;2;0;0;0;0;0;0;0;0;0;0;7.95;7.75;8.29;8.22;8.15;8.22;8.76;8.63;8.83;9.1;8.97;9.24;9.49
3;4;0;0;0;0;0;0;0;0;0;0;7.88;8.23;8.22;8.08;8.22;8.36;9.38;8.49;9.31;9.04;9.24;9.04;9.51
4;6;0;0;0;0;0;0;0;0;0;0;7.88;8.3;8.08;8.08;8.22;8.08;9.04;8.29;9.51;8.7;9.31;8.9;9.1
5;8;0;0;0;0;0;0;0;0;0;0;8.15;8.03;0;8.08;8.22;7.88;8.9;8.22;9.24;8.7;9.1;8.9;9.24
6;10;0;0;0;0;0;0;0;0;0;0;0;7.82;0;8.15;0;8.08;9.04;0;9.17;8.7;0;9.04;9.24
7;12;0;0;0;0;0;0;0;0;0;0;7.74;7.14;7.88;7.88;8.11;8.08;9.1;8.76;9.1;8.7;9.51;9.1;9.24
8;14;0;0;0;0;0;0;0;0;0;0;8.08;7.14;7.74;7.67;7.81;7.88;8.56;8.76;8.9;8.83;9.24;9.31;9.85
9;16;0;0;0;0;0;0;0;0;0;0;8.22;7.55;7.88;7.81;8.11;8.22;8.7;8.83;8.97;9.1;9.38;9.51;9.85
10;18;0;0;0;0;0;0;0;0;0;0;8.42;7.69;8.01;7.47;8.36;8.08;8.56;8.7;8.97;9.1;9.17;9.44;9.78
11;20;5.65;4.61;3.87;4;2.5;2.37;3.19;2.37;1.28;2.16;9.38;7.41;7.67;7.27;8.36;7.95;8.76;8.7;8.83;8.7;9.24;9.51;9.78
12;22;5.65;4.63;4.27;4.41;2.98;2.84;3.46;3.19;1.62;2.91;9.44;7.75;7.33;6.99;8.36;7.95;8.64;8.63;9.44;8.76;9.31;9.17;9.44
13;24;6.19;5.17;4.48;4.61;2.98;3.05;3.73;3.46;1.82;3.66;9.17;7.62;7.27;6.79;8.01;7.47;8.23;8.15;9.38;8.42;9.17;8.63;9.51
14;26;6.39;5.37;4.61;5.09;3.25;3.25;3.87;3.66;2.23;3.59;8.84;7.41;7.2;6.65;7.47;7.2;7.96;7.74;8.83;8.56;8.49;8.49;9.1
15;28;6.19;5.65;4.68;4.75;3.53;3.53;4.07;3.8;2.44;4.14;8.36;7.28;6.86;6.52;7.06;6.65;7.82;7.74;8.22;8.42;8.49;8.49;8.7
16;30;5.71;5.92;5.23;4.89;3.53;4.21;0;4.14;3.25;4.48;8.22;7.14;6.65;6.04;6.72;6.45;7.89;7.06;7.67;7.81;8.22;7.95;8.29
17;32;5.99;6.19;5.43;5.36;4.07;4.41;4.75;4.55;3.32;4.55;7.74;7.21;6.38;5.77;6.04;6.18;7.69;6.86;7.2;7.4;7.61;7.54;7.95
18;34;6.12;6.54;5.5;5.91;4.21;4.89;5.36;5.02;4.07;5.36;7.67;6.73;5.77;5.5;5.91;6.11;7.35;6.65;7.06;6.99;7.27;7.47;7.81
19;36;6.19;6.26;5.43;5.77;4.48;5.23;5.43;5.23;4.14;5.23;7.54;6.39;5.63;5.57;5.36;5.77;6.67;6.45;6.65;6.72;7.13;7.54;7.61
20;38;6.46;5.17;5.36;5.7;4.75;5.43;6.25;5.63;4.41;5.7;6.86;5.51;5.23;5.02;5.09;5.57;0;5.77;6.18;6.45;6.59;7.13;7.54
21;40;6.12;5.31;5.36;6.11;5.23;5.7;6.59;5.77;4.34;5.84;6.38;4.69;4.61;4.55;4.41;4.82;6.19;5.63;6.18;6.11;6.38;6.52;6.99
22;42;6.19;5.51;5.7;6.31;5.5;5.91;6.79;5.97;4.95;6.11;5.63;4.22;4.07;4.14;4.14;4.41;5.36;5.23;5.77;5.43;5.97;6.18;6.65
23;44;6.26;5.58;5.91;6.72;5.63;6.04;7.4;6.65;5.02;6.18;4.89;0;3.73;3.73;3.87;4.34;4.82;5.02;5.57;5.16;5.57;5.84;6.45
24;46;6.52;5.58;6.38;7.4;6.79;6.79;8.08;6.38;5.36;6.52;4.27;4.08;3.32;3.32;3.39;3.93;4.27;4.61;5.29;5.09;5.16;5.57;6.04
25;48;7.62;5.85;6.46;7.47;7.67;7.47;8.7;6.59;5.77;6.79;4.07;4.41;2.91;3.12;3.39;3.73;4.14;4.41;5.16;4.95;5.23;5.43;5.97
26;50;7.69;6.19;6.52;8.22;8.22;8.15;8.76;6.99;5.91;6.99;3.87;3.59;2.64;2.98;3.32;3.53;3.93;4.27;4.61;4.75;5.16;4.95;5.57
27;52;7.69;6.8;6.65;8.22;8.7;8.63;8.49;6.79;6.25;7.2;3.19;3.53;2.37;2.64;2.64;3.19;3.73;3.8;4.14;4.41;4.61;4.61;5.23
28;54;8.91;6.87;6.72;8.56;9.24;8.97;8.01;7.33;6.52;7.13;2.78;2.98;1.89;2.16;2.5;2.84;3.19;3.59;3.8;4.14;4.61;4.41;5.16
29;56;9.05;6.94;6.93;8.76;9.17;9.24;8.15;7.67;6.72;7.27;2.37;2.37;1.89;2.44;2.5;2.71;2.98;3.32;4.07;3.73;4.14;4.61;4.89
30;58;9.12;7.01;7.67;8.83;9.31;8.76;8.15;8.01;7.06;7.61;1.69;1.82;1.69;1.76;2.1;2.5;2.78;3.25;3.53;3.12;3.59;4.14;4.68
31;60;9.51;7.28;7.74;8.9;9.31;7.88;8.08;7.81;7.13;8.42;0;0;0;0;0;0;0;0;0;0;0;0;0
32;62;9.85;7.41;7.47;9.44;9.24;8.08;7.81;7.67;7.33;8.42;0;0;0;0;0;0;0;0;0;0;0;0;0
33;64;9.78;7.35;7.74;9.51;9.31;8.29;8.42;8.36;7.4;9.17;0;0;0;0;0;0;0;0;0;0;0;0;0
34;66;9.05;7.89;8.08;9.17;9.44;8.36;8.36;8.42;7.67;9.44;0;0;0;0;0;0;0;0;0;0;0;0;0
35;68;8.71;7.89;7.61;9.38;9.31;8.36;7.88;8.83;8.01;9.44;0;0;0;0;0;0;0;0;0;0;0;0;0
36;70;8.78;0;7.74;9.51;9.58;8.97;8.08;8.9;7.88;9.38;0;0;0;0;0;0;0;0;0;0;0;0;0
37;72;8.81;0;7.61;9.78;9.31;8.63;8.29;8.56;7.74;9.31;0;0;0;0;0;0;0;0;0;0;0;0;0
38;74;8.78;0;7.67;9.85;8.7;8.42;8.63;8.97;7.95;9.58;0;0;0;0;0;0;0;0;0;0;0;0;0
39;76;9.05;0;8.7;9.99;9.17;9.65;9.99;9.31;8.42;9.85;0;0;0;0;0;0;0;0;0;0;0;0;0
40;78;9.18;0;9.17;10.33;9.38;0;10.67;9.72;9.17;10.33;0;0;0;0;0;0;0;0;0;0;0;0;0
41;80;8.91;0;9.24;0;9.44;10.19;10.4;9.78;9.51;10.74;0;0;0;0;0;0;0;0;0;0;0;0;0
42;82;9.32;0;9.24;10.6;9.44;10.33;10.53;10.19;9.44;10.67;0;0;0;0;0;0;0;0;0;0;0;0;0
43;84;9.52;0;9.92;11.01;9.78;11.28;11.08;10.67;10.06;10.94;0;0;0;0;0;0;0;0;0;0;0;0;0
